Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
1,ORD-33541,2019-07-29,2019-08-04,Second Class,CU-2018,Linda Jones,Consumer,United States,California City,California,13905,West,PROD-1882,Office Supplies,Fasteners,Fasteners Model 432,21418.78,12,0.0,3937.2
2,ORD-94639,2021-05-09,2021-05-11,Standard Class,CU-3876,Michael Thompson,Home Office,United States,Washington City,Washington,65392,West,PROD-2597,Technology,Phones,Phones Model 409,9444.68,8,0.0,2769.41
3,ORD-28026,2021-02-17,2021-02-18,Same Day,CU-0496,Patricia Williams,Corporate,United States,Michigan City,Michigan,80284,Central,PROD-9462,Technology,Machines,Machines Model 29,8139.61,6,0.2,2642.39
4,ORD-14565,2022-03-28,2022-03-30,Second Class,CU-5652,Lisa Taylor,Home Office,United States,Nevada City,Nevada,40512,West,PROD-5636,Technology,Accessories,Accessories Model 342,1552.64,12,0.1,469.66
5,ORD-25088,2021-01-28,2021-01-31,Standard Class,CU-0949,Susan Garcia,Home Office,United States,Nevada City,Nevada,80010,West,PROD-1515,Furniture,Furnishings,Furnishings Model 343,5368.0,4,0.0,1051.78
6,ORD-50896,2022-11-03,2022-11-06,Second Class,CU-0646,Karen Davis,Corporate,United States,Pennsylvania City,Pennsylvania,51347,East,PROD-5097,Furniture,Furnishings,Furnishings Model 343,21529.0,14,0.0,-1100.54
7,ORD-82068,2022-09-04,2022-09-08,Standard Class,CU-5508,David Miller,Home Office,United States,North Carolina City,North Carolina,42325,South,PROD-6623,Technology,Machines,Machines Model 29,6194.8,7,0.5,-663.67
8,ORD-70269,2021-11-09,2021-11-13,Standard Class,CU-2018,Linda Jones,Corporate,United States,Missouri City,Missouri,99192,Central,PROD-7371,Furniture,Furnishings,Furnishings Model 343,3025.57,2,0.0,-304.53
9,ORD-45678,2021-12-19,2021-12-22,Second Class,CU-3667,Lisa White,Corporate,United States,Alabama City,Alabama,99353,South,PROD-6057,Technology,Copiers,Copiers Model 362,15500.3,9,0.0,3753.93
10,ORD-72876,2019-01-07,2019-01-13,Second Class,CU-7584,Jennifer White,Corporate,United States,Michigan City,Michigan,91959,Central,PROD-8654,Technology,Accessories,Accessories Model 342,6365.53,12,0.0,827.47
11,ORD-88910,2022-01-09,2022-01-16,Second Class,CU-0949,Susan Garcia,Consumer,United States,Missouri City,Missouri,57576,Central,PROD-2394,Office Supplies,Envelopes,Envelopes Model 119,11575.59,9,0.3,1361.22
12,ORD-71821,2021-09-22,2021-09-29,Same Day,CU-7486,John Williams,Home Office,United States,Illinois City,Illinois,82063,Central,PROD-4146,Technology,Machines,Machines Model 29,3912.16,2,0.0,-455.94
13,ORD-49099,2022-12-31,2023-01-03,Same Day,CU-0845,Karen Miller,Consumer,United States,Florida City,Florida,25860,East,PROD-2395,Office Supplies,Storage,Storage Model 404,9752.58,7,0.3,826.68
14,ORD-79088,2020-04-16,2020-04-21,Second Class,CU-0715,Charles Thompson,Consumer,United States,Pennsylvania City,Pennsylvania,53309,East,PROD-6266,Technology,Accessories,Accessories Model 342,77.38,4,0.0,-3.96
15,ORD-50777,2022-01-09,2022-01-11,Same Day,CU-0883,Sarah Miller,Home Office,United States,Arizona City,Arizona,63354,West,PROD-7979,Technology,Accessories,Accessories Model 342,11228.11,12,0.5,-472.16
16,ORD-23224,2021-08-14,2021-08-21,First Class,CU-9927,Jessica Jackson,Corporate,United States,New York City,New York,24322,East,PROD-3956,Technology,Copiers,Copiers Model 362,1356.86,12,0.0,-217.91
